Sl. No.,Metric Name,Definition,Preferred Direction
1188,ImageNet W4A4 Top-1 Accuracy,A metric used to evaluate the performance of image classification models,Higher
1189,ImageNet W8A8 Top-1 Accuracy,A metric used to measure the performance of a machine learning model .,Higher
1190,Images & Text,A metric used to evaluate the performance of image-text matching models,Higher
1191,IMDB (Acc),A metric used to evaluate the performance of sentiment analysis models,Higher
1192,In-domain,In-domain is a metric used to evaluate natural language processing models in domain adaptation tasks. It measures the accuracy of a model when tested on data from the same domain as the training data.,Higher
1193,In-domain CE,In-domain Cross Entropy,Lower
1194,In-domain EM,A metric used to evaluate the performance of natural language processing models,Higher
1195,In-KB Accuracy,A metric used to measure the performance of a natural language processing system .,Higher
1196,IN-W Gap,A metric used to evaluate the performance of question answering models,Higher
1197,Inception Score,Metric for generative models,Higher 
1198,Inception score,Quality metric for generative models.,Higher
1199,Incremental PSNR,Increase in Peak Signal-to-Noise Ratio (PSNR) when adding new data to a video stream,Higher
1200,infAP,Inference average precision,Higher 
1201,Inference Speed (s),The inference speed of a model in seconds,Higher
1202,Inference Time (ms),Inference Time in milliseconds,Lower
1203,Inference time (ms),The time it takes to perform inference on a single input in milliseconds.,Lower
1204,Inference Time (ms) (1/5 rotation),Inference time per image for an object detection task with one-fifth rotation augmentation.,Lower
1205,InfinityFID,InfinityFID,Lower 
1206,Inform,The Inform score of a model on the MultiWOZ dataset,Higher
1207,Inform_mct,The inform rate of a model on the MCT dataset,Higher
1208,Infraction penalty,A metric used to evaluate the performance of reinforcement learning models,Lower
1209,Instance Average IoU,Instance Average Intersection over Union,Higher
1210,Intent Accuracy,Intent Accuracy,Higher
1211,interaction match accuracy,Interaction match accuracy,Higher 
1212,interest (human),Human rating of interest,Higher 
1213,Internal Diversity,"Internal diversity score for text generation evaluation, measuring the diversity of generated text.",Higher
1214,Interpolation Error,Interpolation error,Lower 
1215,Interrogative m_vIoU,Interrogative mean voxel intersection over union,Higher 
1216,Interrogative vIoU@0.3,Interrogative vIoU@0.3,Higher
1217,Interrogative vIoU@0.5,Interrogative visible Intersection over Union at 0.5,Higher
1218,Intersection,A metric used to evaluate the performance of object detection models,Higher
1219,Intersection over Union,Intersection over union,Higher 
1220,Interview Pass@1,Interview Pass@1 is a metric used to evaluate natural language processing models that generate responses to interview questions.,Higher
1221,Interview Pass@1000,Pass rate for job interviews,Higher 
1222,Interview Pass@5,Interview pass at 5,Higher 
1223,Interview Pass@any,Interview Pass at any point,Higher
1224,Intra-FID,Intra FID,Lower
1225,Introductory Pass@1,Accuracy of introductory physics questions,Higher
1226,Introductory Pass@1000,Introductory pass at 1000,Higher 
1227,Introductory Pass@5,A metric used to evaluate the performance of question answering models,Higher
1228,Introductory Pass@any,Introductory Pass at any threshold,Higher
1229,IoU,A metric used to measure the performance of an object detection system .,Higher
1230,IOU,Intersection over union,Higher 
1231,IoU - Setting 1,A metric used to evaluate the performance of object detection models,Higher
1232,IoU - Setting 2,Intersection over union - setting 2,Higher 
1233,IoU - Setting 3,The IoU score of a model on setting 3,Higher
1234,IoU (A),Intersection over union (A),Higher 
1235,IoU (V),A metric used to evaluate the performance of object detection models,Higher
1236,IoU (weak),Intersection over union for weakly supervised object detection,Higher
1237,IoU [256 distractors],Intersection over Union with 256 distractors,Higher
1238,IoU [32 distractors],Intersection over union [32 distractors],Higher 
1239,IoU [4 distractors],Intersection over Union between predicted and ground truth bounding boxes with 4 distractors,Higher
1240,IoU mean,Intersection over Union mean,Higher
1241,IoU overall,Intersection over union overall,Higher 
1242,IR,Infrared,N/A
1243,iRMSE,Interpolated root mean squared error for image generation,Lower
1244,IS,A metric used to evaluate the performance of image generation models,Higher
1245,IS (first 20 steps),Iterative search for the first 20 steps,-
1246,IS (full 100 steps),Inception Score on full 100 steps,Higher
1247,IT-Recall@10,IT-Recall at 10,Higher
1248,J,A metric used to measure the performance of a natural language processing system .,Higher
1249,J@60s,A metric used to evaluate the performance of object tracking models,Higher
1250,J&F,A metric used to evaluate the performance of object detection models,Higher
1251,J&F 1st frame,A metric used to measure the performance of a speaker verification system .,Higher
1252,J&F Full video,Jaccard and F1 full video,Higher 
1253,J&F@60s,Jaccard and F1 score at 60 seconds,Higher 
1254,JA-Recall@10,A metric used to evaluate the performance of recommendation models,Higher
1255,Jaccard,Jaccard,Higher
1256,Jaccard (Decay),Jaccard (Decay),Higher 
1257,Jaccard (Mean),Mean Jaccard index across all classes in an instance segmentation task.,Higher
1258,Jaccard (Recall),The Jaccard score of a model on the recall task,Higher
1259,Jaccard (Seen),Jaccard for Seen,Higher
1260,Jaccard (Unseen),Jaccard similarity coefficient for unseen classes,Higher
1261,Jaccard Index,A metric used to measure the performance of a segmentation system .,Higher
1262,Jaco (mean normalized return),A metric used to evaluate the performance of reinforcement learning models,Higher
1263,Java,A metric used to evaluate the performance of programming languages,Higher
1264,Javascript,A metric used to measure the performance of a natural language processing system .,Higher
1265,Jitter,A metric used to measure the performance of a speaker diarization system .,Lower
1266,Joint,Joint is a metric used to evaluate machine translation models. It measures how well generated translations match human translations using joint probability metrics.,Higher
1267,Joint Acc,Joint accuracy,Higher 
1268,Joint F1,Joint F1 score,Higher
1269,Joint SA,Joint SA,N/A
1270,JOINT-EM,Joint Entity Mention Detection and Linking,Higher
1271,JOINT-F1,F1 score for a multi-class classification task,Higher
1272,JS,Jensen-Shannon divergence between two probability distributions.,Lower
1273,JS-4,Jensen-Shannon divergence between the predicted and ground truth distributions,Lower
1274,k=10 mIOU,The mean intersection over union of a model with k=10,Higher
1275,Kappa,Cohen's kappa score,Higher 
1276,Kappa@1%,A metric used to measure the performance of a binary classification system .,Higher
1277,Kappa@10%perclass,Kappa at 10% per class,Higher 
1278,Kappa@200,A metric used to evaluate the quality of search engine results. It measures the agreement between human raters and a search engine’s ranking of documents. Kappa@200 is calculated using the top 200 results returned by the search engine.,Higher
1279,Kappa@5%perclass,A metric used to measure the performance of a binary classification system .,Higher
1280,KEEP,KEEP,KEEP
1281,Kendall’s Tau,A metric used to evaluate the performance of recommendation models,Higher
1282,Keypoint (ablation),Keypoint detection with ablation study,N/A
1283,Keypoint (test),The accuracy of a model on the keypoint detection task,Higher
1284,keypoint AP,Keypoint Average Precision,Higher
1285,KID,The KID score of a model,Higher
1286,KID (first 20 steps),Kernel inception distance (first 20 steps),Lower 
1287,KID (full 100 steps),A metric used to evaluate the quality of generated images,Lower
1288,KILT-AC,Knowledge Intensive Language Tasks - Automatic Correction,N/A
1289,KILT-EM,KILT-EM,Higher
1290,KILT-F1,The KILT-F1 score of a model,Higher
1291,KILT-RL,Knowledge Intensive Language Tasks - Reinforcement Learning,N/A
1292,KIN,The KIN score of a model,Higher
1293,Kitchen,A metric for visual question answering that measures the accuracy of answering questions about kitchen scenes.,Higher
1294,KL,Kullback-Leibler divergence,Lower
1295,KLCC,The KLCC score of a model,Higher
1296,KLD,KLD is a metric used to evaluate generative models in text generation tasks. It measures the Kullback-Leibler divergence between generated text and human-written text using n-gram overlap and syntax tree similarity metrics.,Lower
1297,KO-Recall@10,Knockout Recall at 10 detections,Higher
1298,KROCC,A metric used to evaluate the performance of regression models,Higher
1299,KS-GoF,Kolmogorov-Smirnov Goodness of Fit,N/A
1300,KVD16,KVD16 score,Higher
1301,L1,L1,Lower 
1302,L1 error,A metric used to evaluate the performance of regression models,Lower
1303,L1 mAP,L1 mean Average Precision,Higher
1304,L2 Norm,L2 Norm,N/A
1305,L2P@15,L2 Precision at 15,Higher
1306,L2P@30,A metric used to evaluate the performance of recommendation models,Higher
1307,L2P@5,L2P at 5 detections,Higher
1308,L2Q@15,A metric used to evaluate the performance of image compression models,Higher
1309,L2Q@30,"Latency (L) of answering 2-3 turn dialog question, when the question is the first utterance in the session, in seconds (s)",Lower
1310,L2Q@5,L2Q at 5,Higher 
1311,LA → EN,LA to EN,N/A
1312,label-F1 (%),Label-F1 (%),Higher 
1313,Labelled Attachment Score,A metric used to evaluate the performance of natural language processing models,Higher
1314,landmarks,Landmarks,-
1315,Lane Accuracy (LA),Accuracy of lane detection in autonomous driving scenarios.,Higher
1316,Language Science,Language Science,N/A
1317,Laptop (Acc),The accuracy of a model on the laptop detection task,Higher
1318,Laptop (F1),A metric used to measure the performance of a machine learning model .,Higher
1319,Laptop 2014 (F1),The F1 score of a model on the laptop detection task,Higher
1320,Large MR^-2,A metric used to evaluate the performance of recommendation models,Lower
1321,LAS,Labelled Attachment Score (LAS) is a metric used to evaluate dependency parsing models in natural language processing tasks.,Higher
1322,"Latency, ms","Latency, ms",Lower 
1323,LCC,A metric used to measure the performance of a speaker diarization system .,Higher
1324,LCCAll,Linear Correlation Coefficient (LCCAll) is a metric used to evaluate regression models. It measures the linear correlation between predicted and ground truth scores across all samples in a dataset. Higher values indicate better performance.,Higher
1325,LCS,A metric used to evaluate the performance of text classification models,Higher
